Category,Revenue_Share_2025,Metric,Metric_Value,Path
АЛКОГОЛЬ,0.13678009919657635,Growth,-0.18303276183823394,1
БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,0.05207727307354749,Growth,-0.0033996337567456405,1
ГАРНИРЫ,0.010041101805790086,Growth,0.8758900911504797,1
ДЕСЕРТЫ,0.06315025348541758,Growth,-0.05467120166497611,1
ДЕТСКОЕ МЕНЮ,0.021480612201748083,Growth,-0.2296478416902113,1
ДОПЫ,0.031011189743623026,Growth,-0.16549864012680943,1
ЗАВТРАК,0.06592370162586815,Growth,-0.15017422063840463,1
ЗАКУСКИ,0.05769416350189727,Growth,-0.07872316106779019,1
КОФЕ,0.05140723777332689,Growth,-0.022630983869524817,1
МЯСО,0.060620336242735995,Growth,-0.054921001105847626,1
ПАНАЗИЯ,0.02766818149589684,Growth,-0.09232183886975903,1
ПАСТА,0.11350294480314485,Growth,-0.05651851264456748,1
ПИЦЦА,0.049299175912270794,Growth,-0.0003131223722921851,1
РЫБА,0.05892764077319911,Growth,-0.3561558206716044,1
САЛАТЫ,0.08824298135900624,Growth,-0.11548797306487137,1
СПЕШЛ,0.012977554064122428,Growth,-0.18782303363667308,1
СУПЫ,0.03222423239236821,Growth,-0.10287328338567216,1
ХЛЕБ,0.007129957705226769,Growth,-0.13453961819297788,1
ЧАЙНАЯ КАРТА,0.0598413628442339,Growth,-0.09363692844514095,1
АЛКОГОЛЬ,0.13678009919657635,Contribution,-0.2470220972803345,2
БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,0.05207727307354749,Contribution,-0.0017468854414375008,2
ГАРНИРЫ,0.010041101805790086,Contribution,0.08677907987417588,2
ДЕСЕРТЫ,0.06315025348541758,Contribution,-0.034065735904999846,2
ДЕТСКОЕ МЕНЮ,0.021480612201748083,Contribution,-0.048673556447728854,2
ДОПЫ,0.031011189743623026,Contribution,-0.05064037525209964,2
ЗАВТРАК,0.06592370162586815,Contribution,-0.09768345888143021,2
ЗАКУСКИ,0.05769416350189727,Contribution,-0.04481449045784292,2
КОФЕ,0.05140723777332689,Contribution,-0.011479203666355377,2
МЯСО,0.060620336242735995,Contribution,-0.03285041370669159,2
ПАНАЗИЯ,0.02766818149589684,Contribution,-0.025203979598747612,2
ПАСТА,0.11350294480314485,Contribution,-0.06329682279281237,2
ПИЦЦА,0.049299175912270794,Contribution,-0.00015231329580704374,2
РЫБА,0.05892764077319911,Contribution,-0.20708238482435798,2
САЛАТЫ,0.08824298135900624,Contribution,-0.10055437919538877,2
СПЕШЛ,0.012977554064122428,Contribution,-0.024050591117064438,2
СУПЫ,0.03222423239236821,Contribution,-0.03270914858071703,2
ХЛЕБ,0.007129957705226769,Contribution,-0.009465012717859156,2
ЧАЙНАЯ КАРТА,0.0598413628442339,Contribution,-0.055288230712501066,2
